Rep-id,Condition,Task,SOA,Time,Act-Red,Act-Green
11,congruent,word reading,10,73,0.9907714852810714,0.01058338175884527
11,congruent,word reading,10,74,0.9918921178202162,0.010268078356922412
11,congruent,word reading,10,75,0.9921697854445607,0.009645032750127581
11,congruent,word reading,10,76,0.9927707930195495,0.009010140618495088
11,congruent,word reading,10,77,0.9934193107203897,0.00821328711544345
11,congruent,word reading,10,78,0.9940168089893323,0.007456203022852467
11,congruent,word reading,10,79,0.9946670153487562,0.006719840054674589
11,congruent,word reading,10,80,0.9947055144569801,0.0058926444963334395
11,congruent,word reading,10,81,0.9949435594214928,0.005219366074654003
11,congruent,word reading,10,82,0.9954293727743659,0.004894871079476269
11,congruent,word reading,10,83,0.9959336138193708,0.004553072785987699
11,congruent,word reading,10,84,0.996307661672952,0.003977888573799389
11,congruent,word reading,10,85,0.9963896004043027,0.003388937653187969
11,congruent,word reading,10,86,0.9967644933101366,0.0032673129114433133
11,congruent,word reading,10,87,0.9970261837476939,0.003192854572880411
11,congruent,word reading,10,88,0.9973025826753809,0.0029433665791212186
11,congruent,word reading,10,89,0.9975744337335962,0.0027489271869043383
11,congruent,word reading,10,90,0.9979005167913789,0.0025598569509784476
11,congruent,word reading,10,91,0.9980249759557744,0.0023566351712120937
11,congruent,word reading,10,92,0.9982378126333246,0.002212413001360002
11,congruent,word reading,10,93,0.9984266304330836,0.0019581909149038387
11,congruent,word reading,10,94,0.998557369778983,0.0017366536619456685
11,congruent,word reading,10,95,0.9987104061957971,0.0015887746553523016
11,congruent,word reading,10,96,0.9988642125724213,0.0014654791459451416
11,congruent,word reading,10,97,0.9989800785298838,0.0012579335397707616
11,congruent,word reading,10,98,0.9990477115285928,0.001145870179649864
11,congruent,word reading,10,99,0.999123845371111,0.0010546750789122948
11,congruent,word reading,10,100,0.9992143732643703,0.000944102473798011
11,congruent,word reading,10,101,0.9992773499323209,0.000821813672244022
11,congruent,word reading,10,102,0.9993429763766032,0.0007446509119160654
11,congruent,word reading,10,103,0.9994119005226542,0.0006548773404421177
